,name,latitud,longitud,tipo
0,Starbucks Room Mate Oscar,40.42075183549848,-3.6993145297210788,Starbucks
1,Starbucks Princesa 40,40.42906874005007,-3.7150786671568476,Starbucks
2,Starbucks Plaza Río 2,40.39130385405477,-3.701122858987979,Starbucks
3,Starbucks Pozuelo,40.43816816158585,-3.793838131943415,Starbucks
4,Starbucks ECI Castellana (Starbucks),40.44748872381242,-3.6930934929855574,Starbucks
5,Starbucks Plaza de España,40.423319643246955,-3.710882844657412,Starbucks
6,Starbucks Preciados 27,40.419667845686355,-3.7061354223688325,Starbucks
7,Starbucks Alcalá 21,40.418038185194774,-3.699371513099982,Starbucks
8,"Starbucks Serrano, 100",40.4335639178076,-3.6868293595360973,Starbucks
9,Starbucks Orense 79,40.45957,-3.6943874,Starbucks
10,Starbucks Gran Vía 30,40.42014039388448,-3.702886033408268,Starbucks
11,Starbucks Conde de Peñalver,40.426066801136066,-3.6756167469058876,Starbucks
12,Starbucks Juan Bravo,40.43296760669224,-3.6832201480865474,Starbucks
13,Starbucks,40.49024076241017,-3.5910167013925776,Starbucks
14,Starbucks ECI Sanchinarro,40.49768721643861,-3.660368141302403,Starbucks
15,Starbucks CC Dreams,40.46282268242124,-3.636758032267253,Starbucks
16,Starbucks Reina Sofia,40.40885214578761,-3.693236539287397,Starbucks
17,Starbucks Fuencarral 43,40.423112989750564,-3.700798408458431,Starbucks
18,Starbucks Gran Vía 58,40.421751918201934,-3.7083782102926905,Starbucks
19,Starbucks,40.41532327347708,-3.6949486687744146,Starbucks
20,Starbucks Génova 27,40.425760357264515,-3.691781759262085,Starbucks
21,Starbucks Orense 6,40.44772869759542,-3.6951754717412046,Starbucks
22,Starbucks Príncipe Pío,40.421949993513195,-3.7203776278003375,Starbucks
23,Starbucks Arenal 14,40.41719516711848,-3.706118548830636,Starbucks
24,Starbucks,40.418054,-3.710009,Starbucks
25,Starbucks CC Plenilunio,40.44638591027995,-3.587592789104539,Starbucks
26,Starbucks Velázquez,40.4394314443529,-3.6826531171468173,Starbucks
27,Starbucks ECI Méndez Álvaro,40.39469,-3.676454,Starbucks
28,Starbucks CC La Vaguada,40.47963598026618,-3.707357285899872,Starbucks
29,Starbucks La Finca,40.41888867283295,-3.800662722672292,Starbucks
30,Starbucks,40.455039,-3.583356,Starbucks
31,Starbucks,40.420450975922165,-3.6796733064135796,Starbucks
32,Starbucks,40.417539,-3.702775,Starbucks
33,Starbucks CC Islazul,40.36350271226119,-3.7365511407333716,Starbucks
34,Starbucks,40.44677599194058,-3.6918291111629657,Starbucks
35,Starbucks Quevedo,40.433353,-3.703958,Starbucks
36,"Starbucks Velázquez, 32",40.424974636524,-3.684107212216363,Starbucks
37,Starbucks,40.41748942152583,-3.70466514037747,Starbucks
38,Starbucks,40.403120577140534,-3.687687685586035,Starbucks
39,Starbucks Teatro Real,40.418106483857194,-3.709606077515513,Starbucks
40,Starbucks San Miguel,40.41573297582015,-3.708717822655616,Starbucks
41,Starbucks ECI Preciados,40.4174674,-3.7043957,Starbucks
42,Starbucks,40.440273,-3.682125,Starbucks
43,Starbucks Palace,40.414995,-3.695058,Starbucks
44,Starbucks,40.421095,-3.70256,Starbucks
0,British Council Madrid Young Leaners,40.43513620483764,-3.693705035042072,Colegios
1,Colegio San Diego y San Vicente,40.43281124387151,-3.6946932590788575,Colegios
2,Colegio Hermanos Maristas Chamberí,40.43373958494753,-3.69539616101177,Colegios
3,FAPA Giner de los Ríos,40.434581329926225,-3.696783414996842,Colegios
4,Instituto Internacional en España,40.43413038232662,-3.691153877200906,Colegios
5,I.E.S. Fortuny,40.43377178011417,-3.6899563456098248,Colegios
6,Colegio Maria Inmaculada,40.43425960126786,-3.695534884698451,Colegios
7,Goethe-Institut Madrid,40.42952862602408,-3.691362253555662,Colegios
8,IE Business School MM2,40.43766779716242,-3.6896703599823493,Colegios
9,Yowork,40.434826552303704,-3.6922700245441966,Colegios
10,Trading de Futuros,40.4354529,-3.6896221,Colegios
0,Fortuny Palace,40.434483727754156,-3.689900764206596,Bar
1,La Contenta,40.43264832487213,-3.697209439008284,Bar
2,Pancomido,40.433888,-3.693107,Bar
3,Ditirambo,40.43377720206481,-3.6921263700933755,Bar
4,Marieta,40.43357926694694,-3.6877153100954003,Bar
5,Periplo Café Griego,40.43580662663052,-3.696487471419325,Bar
6,El Yate,40.43516299906303,-3.6917808228085973,Bar
7,Taberna El Cuco,40.43667344803025,-3.693338264656966,Bar
8,Poncelet Cheese Bar,40.438328704033125,-3.6921571740363075,Bar
9,Baker Street,40.43035176488874,-3.693525492759899,Bar
10,Richelieu,40.43289081882173,-3.694498071479937,Bar
11,Casa De Bader,40.433773095024705,-3.6913075698657414,Bar
12,Maddock,40.43493616250174,-3.694279242758815,Bar
13,Club Lounge InterContinental,40.436452187645806,-3.689692801444513,Bar
14,Rio Tormes,40.43772471599002,-3.6929171109524415,Bar
15,Lateral,40.43364799772341,-3.687629046794835,Bar
16,Bar Perfil,40.43055302463905,-3.6922734125325802,Bar
17,Com Com,40.436356,-3.691141,Bar
18,Bacanal,40.43578466860552,-3.691240531444405,Bar
19,Cervecería Martín,40.43180031230797,-3.6971797802651887,Bar
20,Wanda,40.4378704732205,-3.6898793645346313,Bar
21,Panaria,40.43297193965605,-3.6980165275977828,Bar
22,Opium,40.43802887204548,-3.6920330714279475,Bar
23,Sala Caravan,40.435083553557824,-3.695987551647396,Bar
24,Casa Longinos,40.43522787080931,-3.6904990909799755,Bar
25,Swimming,40.435477648964685,-3.696547031583929,Bar
26,Hoyo Pub Golf,40.43390585,-3.691392,Bar
27,Tabernamanía,40.433509321673945,-3.698231150787802,Bar
28,VINTAGE 56,40.43630301875413,-3.6889814932554144,Bar
29,Casa Corona,40.432024,-3.690458,Bar
30,Las Bridas,40.43820685872955,-3.692827216943127,Bar
31,El Confidencial,40.43275527950817,-3.692779541015625,Bar
32,xantar ben,40.435615,-3.695211,Bar
33,The Causeway,40.43513435240026,-3.6915372406749296,Bar
34,VIPS Miguel Ángel,40.43546301044856,-3.6912336575142257,Bar
35,Valle Miñor,40.43112197106297,-3.6965078115463257,Bar
36,Picaporte,40.436769,-3.694176,Bar
37,Mazarino,40.43296644506286,-3.694053910250291,Bar
38,Navare Bar,40.43405657212224,-3.6925553333043255,Bar
0,Parada E.M.T. #1893,40.43514946702478,-3.6925672716695193,Estaciones
1,"Parada #60 (5, 14, 27, 45, 150)",40.433144049667085,-3.688021667459284,Estaciones
2,Parada EMT del 27,40.43279712156071,-3.6887279639378208,Estaciones
3,Parada 27 EMT,40.43245097014567,-3.6879871141197995,Estaciones
0,Clinica Veterinaria Castellana,40.436664,-3.69229,
